项目关键指标 Key Project Indicators
指标 Indicator,值 Value
内部收益率 IRR,N/A
销售毛利率 Gross Profit Margin,13.01%
销售净利率 Net Profit Margin,3.95%
现金流回正（月） Cash Flow Positive Month,8
项目总销售额（含税） Total Sales (incl. tax),131400000.0
项目总投资（含税） Total Investment (incl. tax),126212625.0
项目资金峰值 Peak Negative Cash Flow,-63266250.0
项目净利润 Net Profit,5187375.0
企业所得税 Corporate Tax,1729125.0
税后净利润 Net Profit After Tax,3458250.0
MOIC,1.08

月份 Month,计容产品销售收入 Apartment Sales,预售资金监管要求 Supervision Fund Requirement,资金监管存入 Fund Contribution,资金监管解活 Fund Release,车位销售收入 Parking Lot Sales,总销售收入 Total Sales Income,总现金流入小计 Total Cash Inflow,土地规费 Land Fees,配套建设费用 Amenity Construction Cost,计容产品建安费用 Apartment Construction Payment,税费 Fees and Taxes,地下建安费用 Underground Construction Cost,总现金流出小计 Total Cash Outflow,月净现金流 Monthly Net Cashflow,累计净现金流 Accumulated Net Cashflow,增值税重新申报 VAT Re-declaration
1,0.0,69300000.0,0.0,0,0,0.0,0.0,40000000,0,6930000.0,0.0,0,46930000.0,-46930000.0,-46930000.0,0
2,0.0,69300000.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,-46930000.0,0
3,25500000.0,69300000.0,25500000.0,0,0,25500000.0,0.0,0,500000.0,13860000.0,1976250.0,0,16336250.0,-16336250.0,-63266250.0,0
4,25500000.0,48510000.0,23010000.0,0,0,25500000.0,2490000.0,0,0,0.0,1976250.0,0,1976250.0,513750.0,-62752500.0,0
5,25500000.0,48510000.0,0,0,0,25500000.0,25500000.0,0,0,0.0,1976250.0,0,1976250.0,23523750.0,-39228750.0,0
6,21900000.0,48510000.0,0,0,0,21900000.0,21900000.0,0,500000.0,0.0,1697250.0,0,2197250.0,19702750.0,-19526000.0,0
7,16500000.0,48510000.0,0,0,0,16500000.0,16500000.0,0,0,13860000.0,1278750.0,0,15138750.0,1361250.0,-18164750.0,0
8,16500000.0,20790000.0,0,27720000.0,0,16500000.0,44220000.0,0,0,0.0,1278750.0,0,1278750.0,42941250.0,24776500.0,0
9,0.0,20790000.0,0,0,0,0.0,0.0,0,500000.0,0.0,0.0,0,500000.0,-500000.0,24276500.0,0
10,0.0,20790000.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,24276500.0,0
11,0.0,20790000.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,24276500.0,0
12,0.0,20790000.0,0,0,0,0.0,0.0,0,500000.0,0.0,0.0,0,500000.0,-500000.0,23776500.0,0
13,0.0,20790000.0,0,0,0,0.0,0.0,0,0,6930000.0,0.0,0,6930000.0,-6930000.0,16846500.0,0
14,0.0,20790000.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,16846500.0,0
15,0.0,20790000.0,0,0,0,0.0,0.0,0,500000.0,0.0,0.0,0,500000.0,-500000.0,16346500.0,0
